Position,Worth,Name,Age,Source,Country,Gender_cat
237,6.9 BUSD,Leonid Fedun,62,Energy  ==> oil,None,Male
238,6.9 BUSD,Kim Jung-Ju,50,Technology  ==> online games,None,Male
239,6.9 BUSD,Sandra Ortega Mera,49,Fashion & Retail  ==> Zara,Spain,Female
240,6.9 BUSD,Jim Pattison,89,Diversified  ==> diversified,None,Male
241,6.9 BUSD,Michael Platt,50,Finance and Investments  ==> hedge funds,None,Male
242,6.8 BUSD,Chan Laiwa,77,Real Estate  ==> real estate,China,Not Available
243,6.8 BUSD,David Green,76,Fashion & Retail  ==> retail,None,Male
244,6.8 BUSD,Hank & Doug Meijer,62,Fashion & Retail  ==> supermarkets,United States,Male
245,6.8 BUSD,Dmitry Rybolovlev,51,Manufacturing  ==> fertilizer,None,Male
246,6.8 BUSD,Tsai Eng-Meng,61,"Food and Beverage  ==> food, beverages",None,Male
247,6.8 BUSD,Andreas Von Bechtolsheim,62,Technology  ==> Google,None,Male
248,6.7 BUSD,Oleg Deripaska,50,"Metals & Mining  ==> aluminum, utilities",None,Not Available
249,6.7 BUSD,Liu Yongxing,70,Service  ==> diversified,None,Male
250,6.7 BUSD,Ludwig Merckle,53,Finance and Investments  ==> pharmaceuticals,None,Male
251,6.6 BUSD,Brian Acton,46,Technology  ==> WhatsApp,None,Male
252,6.6 BUSD,John Grayken,62,Finance and Investments  ==> private equity,None,Not Available
253,6.6 BUSD,Ann Walton Kroenke,69,Fashion & Retail  ==> Walmart,United States,Not Available
254,6.6 BUSD,Augusto & Giorgio Perfetti,62,Food and Beverage  ==> candy,Italy,Male
255,6.6 BUSD,Finn Rausing,63,Food and Beverage  ==> packaging,None,Not Available
256,6.6 BUSD,Kirsten Rausing,66,Food and Beverage  ==> packaging,None,Female
257,6.6 BUSD,Odd Reitan,66,"Fashion & Retail  ==> retail, real estate",Norway,Male
258,6.6 BUSD,Nassef Sawiris,57,"Construction & Engineering  ==> construction, chemicals",None,Male
259,6.6 BUSD,Wee Cho Yaw,89,Finance and Investments  ==> banking,None,Male
260,6.6 BUSD,Aloys Wobben,66,Energy  ==> wind turbines,None,Male
261,6.5 BUSD,Leon Black,66,Finance and Investments  ==> private equity,United States,Male
262,6.5 BUSD,Ivan Glasenberg,61,Metals & Mining  ==> mining,None,Not Available
263,6.5 BUSD,John Paulson,62,Finance and Investments  ==> hedge funds,None,Male
264,6.5 BUSD,Wei Jianjun,54,Automotive  ==> automobiles,China,Male
265,6.4 BUSD,Francis Choi,70,Real Estate  ==> real estate,None,Male
266,6.4 BUSD,Erivan Haub,85,Fashion & Retail  ==> retail,Germany,Male
267,6.4 BUSD,Jason Jiang,45,Media & Entertainment  ==> advertising,None,Male
